육교명,도로종류,도로노선번호,도로노선명,소재지도로명주소,위도,경도,육교연장,육교높이,허용통행하중,통행제한높이,육교폭,난간높이,조명개수,장애인편의시설설치여부,장애인편의시설종류,장애인편의시설수량,부대시설종류,부대시설수량,육교준공일자,내진설계적용여부,안전등급,사용제한구분,육교보수보강내역,최종안전점검유형,최종안전점검일자,관리기관명,데이터기준일자,제공기관코드,제공기관명
옥포육교,시도,대로1-1호선,도시계획도로 대로1-1호선,경상남도 거제시 옥포동 산93-7,34.887436,128.692443,30,,,5,2.5,,,N,없음,,,,,,양호,제한없음,,정기점검,2017-09-22,거제시청,2020-02-19,5370000,경상남도 거제시
고현초 통학육교,시도,중로1-3호선,도시계획도로 중로1-3호선,경상남도 거제시 상동동 487,34.874311,128.628894,60,,,5,3,,,N,없음,,,,,,양호,제한없음,,정기점검,2017-09-22,거제시청,2020-02-19,5370000,경상남도 거제시
금당육교,일반국도,2,없음,전라남도 광양시 금호동 624-21,34.936176,127.726053,35,,,4.7,3,,,Y,경사로,,,,1989-01-01,,보통,제한없음,,정기점검,2018-12-31,전라남도 광양시,2020-03-24,4840000,전라남도 광양시
백운육교,일반국도,2,없음,전라남도 광양시 금호동 674,34.942383,127.724737,35,,,5.4,3,,,Y,경사로,,,,1996-01-01,,보통,제한없음,,정기점검,2018-12-31,전라남도 광양시,2020-03-24,4840000,전라남도 광양시
창대보도육교,기타,X,X,경기도 양평군 양평읍 역전길 2,37.4912443313,127.4889211591,20,7,,5,4,1.5,2,N,N,,,,,N,양호,제한없음,"바닥, 시설물 보수",정기점검,2019-12-31,양평군,2020-03-01,4170000,경기도 양평군
양평보도육교,기타,X,X,경기도 양평군 양평읍 양근로 260,37.4857472496,127.4957033925,85,7,,5,4,1.5,4,N,N,,,,,N,양호,제한없음,"바닥, 시설물 보수",정기점검,2019-12-31,양평군,2020-03-01,4170000,경기도 양평군
양동보도육교,기타,X,X,경기도 양평군 양동면 양동역길 19,37.4215396917,127.7532902404,50,7,,5,4,1.5,3,N,N,,,,,N,양호,제한없음,"바닥, 시설물 보수",정기점검,2019-12-31,양평군,2020-03-01,4170000,경기도 양평군
장기육교2,시도,김포한강1로,김포한강1로,경기도 김포시 장기동 1798,37.641566,126.666898,30,,,5.0,5.1,1,6,Y,승강기,2,,,2008-01-01,N,보통,제한없음,,정기점검,2020-02-20,김포시도로관리과,2020-02-27,4090000,경기도 김포시
한가람육교,시도,김포한강7로,김포한강7로,경기도 김포시 구래동 6922,37.6372701,126.631322,37,,,4.5,5.5,1,44,N,해당없음,,,,2014-01-01,N,보통,제한없음,,정기점검,2020-02-20,김포시도로관리과,2020-02-27,4090000,경기도 김포시
나비육교,시도,김포한강3로,김포한강3로,경기도 김포시 구래동 6906,37.641416,126.6301633,72,,,4.5,16.0,1,398,N,해당없음,,,,2014-01-01,N,보통,제한없음,,정기점검,2020-02-20,김포시도로관리과,2020-02-27,4090000,경기도 김포시
솔터육교,시도,김포한강3로,김포한강3로,경기도 김포시 마산동 691-1,37.6389349,126.636186,44,,,4.5,7.5,1,52,N,해당없음,,,,2014-01-01,N,보통,제한없음,,정기점검,2020-02-20,김포시도로관리과,2020-02-27,4090000,경기도 김포시
은여울육교,시도,김포한강3로,김포한강3로,경기도 김포시 마산동 691-1,37.6389349,126.636186,44,,,4.5,7.5,1,140,N,해당없음,,,,2014-01-01,N,보통,제한없음,,정기점검,2020-02-20,김포시도로관리과,2020-02-27,4090000,경기도 김포시
고창육교,시도,김포한강3로,김포한강3로,경기도 김포시 장기동 1888-22,37.6421535,126.656937,40,,,4.5,5.5,1,194,Y,승강기,2,,,2014-01-01,N,보통,제한없음,,정기점검,2020-02-20,김포시도로관리과,2020-02-27,4090000,경기도 김포시
수정육교,시도,김포대로,김포대로,경기도 김포시 장기동 1923,37.6475225,126.6774076,52,,,4.5,5.5,1,107,Y,승강기,2,,,2014-01-01,N,보통,제한없음,,정기점검,2020-02-20,김포시도로관리과,2020-02-27,4090000,경기도 김포시
호수육교,시도,김포한강5로,김포한강5로,경기도 김포시 양곡리 1539,37.6514716,126.6285925,46,,,4.5,5.5,1,141,Y,승강기,2,,,2014-01-01,N,보통,제한없음,,정기점검,2020-02-20,김포시도로관리과,2020-02-27,4090000,경기도 김포시
은여울공원육교,시도,김포한강8로,김포한강8로,경기도 김포시 마산동 694-3,37.6363621,126.6347321,24,,,4.5,7.0,1,,N,해당없음,,,,2016-03-31,N,보통,제한없음,,정기점검,2020-02-20,김포시도로관리과,2020-02-27,4090000,경기도 김포시
연향육교,시도,2번,백강로,전라남도 순천시 명말1길 53-1 (연향동),34.9423705014,127.5222491519,90,,,4.5,,,,N,N,,,,1984-01-01,N,보통,제한없음,,정기점검,2019-12-05,순천시청 도로과,2020-02-12,4820000,전라남도 순천시
여상육교,시도,2번,녹색로,전라남도 순천시 녹색로 1636 (덕월동),34.9263701719,127.4908818464,24.7,,,4.4,,,,N,N,,,,1991-01-01,N,보통,제한없음,,정기점검,2019-12-05,순천시청 도로과,2020-02-12,4820000,전라남도 순천시
이수육교,시도,2번,이수로,전라남도 순천시 이수로 171-1 (생목동),34.9490719769,127.5046138007,13.4,,,4.5,,,,N,N,,,,1991-01-01,N,보통,제한없음,,정기점검,2019-12-05,순천시청 도로과,2020-02-12,4820000,전라남도 순천시
조례육교2,시도,2번,순광로,전라남도 순천시 순광로 17 (조례동),34.9551236488,127.5229825468,26,,,4.2,,,,N,N,,,,1992-01-01,N,보통,제한없음,,정기점검,2019-12-05,순천시청 도로과,2020-02-12,4820000,전라남도 순천시
군포부곡 보도육교,시도,없음,번영로,경기도 군포시 부곡동 번영로,37.323705,126.939924,129.3,,,4.5,4,,,Y,경사로,2,엘리베이터+캐노피,5,2010-01-01,Y,보통,제한없음,,정기점검,2018-05-04,군포시 군포시청,2018-08-27,4020000,경기도 군포시
삼성보도육교,시도,없음,삼성로,경기도 군포시 부곡동 삼성로,37.338286,126.931889,32,,,5,5,,,Y,경사로,2,캐노피,3,2014-01-01,Y,보통,제한없음,,정기점검,2018-05-04,군포시 군포시청,2018-08-27,4020000,경기도 군포시
마송육교1,일반국도,48번,김포대로,경기도 김포시 마송리 589,37.686773,126.590259,57,,,4.5,4.0,1,,N,해당없음,,,,2008-01-01,N,보통,제한없음,,정기점검,2020-02-20,김포시도로관리과,2020-02-27,4090000,경기도 김포시
마송육교2,일반국도,48번,김포대로,경기도 김포시 마송리 589,37.687265,126.590619,51,,,4.5,4.0,1,,N,해당없음,,,,2008-01-01,N,보통,제한없음,,정기점검,2020-02-20,김포시도로관리과,2020-02-27,4090000,경기도 김포시
양곡육교1,지방도,356호선,양곡4로,경기도 김포시 양곡리 1503,37.6625476,126.633914,31,,,5.4,4.0,1,,N,해당없음,,,,2008-01-01,N,보통,제한없음,,정기점검,2020-02-20,김포시도로관리과,2020-02-27,4090000,경기도 김포시
양곡육교2,시도,356호선,양곡4로,경기도 김포시 양곡리 1518,37.6560249,126.6306603,32,,,5.4,4.0,1,,N,해당없음,,,,2008-01-01,N,보통,제한없음,,정기점검,2020-02-20,김포시도로관리과,2020-02-27,4090000,경기도 김포시
양곡육교3,지방도,356호선,양곡4로,경기도 김포시 양곡리 1503,37.6625476,126.633914,33,,,5.0,4.0,1,,N,해당없음,,,,2008-01-01,N,보통,제한없음,,정기점검,2020-02-20,김포시도로관리과,2020-02-27,4090000,경기도 김포시
장기육교1,시도,김포한강2로,김포한강2로,경기도 김포시 장기동 1799,37.642871,126.664973,26,,,5.0,4.2,1,6,Y,승강기,2,,,2008-01-01,N,보통,제한없음,,정기점검,2020-02-20,김포시도로관리과,2020-02-27,4090000,경기도 김포시
터미널육교,시도,대로 1-1,좌수영로,전라남도 여수시 좌수영로 268,34.758086,127.716283,35,4.8,,4.8,3,1.5,2,Y,엘리베이터+점자블럭,2,엘리베이터,2,2002-01-01,N,양호,제한없음,,정기점검,2018-11-26,여수시,2019-03-18,4810000,전라남도 여수시
시전육교,시도,대로 3-21,새터로,전라남도 여수시 새터로 47,34.760631,127.674751,23.4,4.8,,4.8,3,1.5,2,Y,엘리베이터+점자블럭,2,엘리베이터,2,2004-01-01,N,양호,제한없음,,정기점검,2018-11-26,여수시,2019-03-18,4810000,전라남도 여수시
시전2육교,시도,중로 1-65,여천체육공원길,전라남도 여수시 여천체육공원길 24,34.761454,127.675593,33.6,4.8,,4.8,3,1.5,20,Y,점자블럭,1,,,2004-01-01,N,양호,제한없음,,정기점검,2018-11-26,여수시,2019-03-18,4810000,전라남도 여수시
라온육교,시도,중로 1-11,상암로,전라남도 여수시 봉계동 산 151-1,34.783835,127.695611,22.9,4.8,,4.8,3,1.5,2,N,없음,,,,2006-01-01,N,양호,제한없음,,정기점검,2018-11-26,여수시,2019-03-18,4810000,전라남도 여수시
웅천육교,시도,대로 2-18,웅천로,전라남도 여수시 웅천동 1740,34.748672,127.677565,40,4.5,,4.5,4,1.5,0,Y,경사로,1,,,2010-01-01,N,양호,제한없음,,정기점검,2018-11-26,여수시,2019-03-18,4810000,전라남도 여수시
좌수영다리,시도,대로 3-1,동문로,전라남도 여수시 고소2길 3-1,34.741352,127.737375,38,4.5,,4.5,4,1.5,1,N,없음,,,,2012-01-01,N,양호,제한없음,,정기점검,2018-11-26,여수시,2019-03-18,4810000,전라남도 여수시
심곡보도교,시도,소로 3-724,없음,전라남도 여수시 소라면 죽림리 1174,34.762499,127.634440,12.2,3.8,,3.8,6,1.5,0,N,없음,,,,2010-01-01,N,양호,제한없음,,정기점검,2018-11-26,여수시,2019-03-18,4810000,전라남도 여수시
심곡다리,시도,소공원,없음,전라남도 여수시 소라면 죽림리 1220,34.761388,127.638192,12,3.8,,3.8,2,1.5,0,N,없음,,,,2010-01-01,N,양호,제한없음,,정기점검,2018-11-26,여수시,2019-03-18,4810000,전라남도 여수시
봉강육교,시도,대로 3-5,한재로,전라남도 여수시 한재로 170-2,34.743048,127.726318,17,6,,6,3.5,1.5,2,N,없음,,,,1990-01-01,N,양호,제한없음,,정기점검,2018-11-26,여수시,2019-03-18,4810000,전라남도 여수시
봉산육교,시도,소로 2-539,봉산서3길,전라남도 여수시 봉산서3길 14-4,34.736583,127.719911,13.6,1.4,,1.4,1.8,1.5,2,N,없음,,,,2002-01-01,N,양호,제한없음,,정기점검,2018-11-26,여수시,2019-03-18,4810000,전라남도 여수시
엄사육교,기타,01월 03일,대로,충청남도 계룡시 엄사면 엄사리 95-7,36.292687,127.242539,183,5,5,5,33,1.1,10,Y,경사로,2,,,, ,양호,제한없음,,정기점검,2017-11-24,계룡시,2018-08-14,5580000,충청남도 계룡시
산본역 보도육교,시도,없음,번영로,경기도 군포시 금정동 번영로,37.358035,126.933015,134.6,6.15,,4.5,6.8,1,,Y,점자블럭+경사로,7,캐노피,4,1996-01-01,N,보통,제한없음,,정기점검,2018-05-04,군포시 군포시청,2018-08-27,4020000,경기도 군포시
둔전초교 보도육교,시도,없음,고산로,경기도 군포시 산본동 고산로,37.360788,126.923035,44,,,4.3,4.7,,,Y,경사로,2,없음,0,1996-01-01,N,보통,제한없음,,정기점검,2018-05-04,군포시 군포시청,2018-08-27,4020000,경기도 군포시
산본 보도육교,시도,없음,고산로,경기도 군포시 산본동 고산로,37.374389,126.938303,27.6,5.85,,4.8,4,1,,N,없음,0,없음,0,1996-01-01,N,보통,제한없음,,정기점검,2018-05-04,군포시 군포시청,2018-08-27,4020000,경기도 군포시
군포초교 보도육교,시도,없음,군포로,경기도 군포시 당동 군포로,37.348179,126.943575,29,5.5,,4.5,4,1,,N,없음,0,없음,0,1989-01-01,N,보통,제한없음,,정기점검,2018-05-04,군포시 군포시청,2018-08-27,4020000,경기도 군포시
4단지 보도육교,시도,없음,번영로,경기도 군포시 산본동 번영로,37.349687,126.925602,28.1,,,4.5,4,,,N,없음,0,엘리베이터,2,1996-01-01,N,보통,제한없음,,정기점검,2018-05-04,군포시 군포시청,2018-08-27,4020000,경기도 군포시
금정I.C 보도육교,시도,없음,군포로,경기도 군포시 금정동 군포로,37.365722,126.946886,54.5,,,6,3,,,N,없음,0,없음,0,1996-01-01,N,보통,제한없음,,정기점검,2018-05-04,군포시 군포시청,2018-08-27,4020000,경기도 군포시
태을초교앞 보도육교,시도,없음,산본로,경기도 군포시 산본동 산본로,37.372352,126.927257,41.5,6.1,,4.5,2.5,1,,Y,경사로,2,캐노피,7,1996-01-01,Y,보통,제한없음,,정기점검,2018-05-04,군포시 군포시청,2018-08-27,4020000,경기도 군포시
당동 보도육교,시도,없음,고산로,경기도 군포시 당동 고산로,37.348067,126.940384,41,,,4.5,4,,,Y,경사로,3,캐노피,14,2005-01-01,N,보통,제한없음,재도장,정기점검,2018-05-04,군포시 군포시청,2018-08-27,4020000,경기도 군포시
금정역북부역사육교,시도,없음,고산로,경기도 군포시 산본동 군포로,37.372572,126.942764,36.8,,,6.8,5,,,Y,점자블럭,7,엘리베이터+캐노피,5,2006-01-01,N,보통,제한없음,,정기점검,2018-05-04,군포시 군포시청,2018-08-27,4020000,경기도 군포시
성지중학교 앞 육교,시도,대로1-1호선,도시계획도로 대로1-1호선,경상남도 거제시 거제대로 3702,34.887013,128.6925043414,30.3,,,5,2.5,,,N,없음,,,,,,보통,제한없음,,정기점검,2017-09-22,거제시청,2020-02-19,5370000,경상남도 거제시
송정육교,시도,대로1-1호선,도시계획도로 대로1-1호선,경상남도 거제시 거제대로 4061-1,34.914343,128.675031,39.5,,,4.5,3.5,,,Y,엘리베이터,,,,,,양호,제한없음,,정기점검,2017-09-22,거제시청,2020-02-19,5370000,경상남도 거제시
중곡육교,시도,대로1-1호선,도시계획도로 대로1-1호선,경상남도 거제시 중곡로1길 7,34.892707,128.630085,43.66,,,4.5,4,,,Y,엘리베이터,,,,,,보통,제한없음,,정기점검,2017-09-22,거제시청,2020-02-19,5370000,경상남도 거제시
신안육교,기타,대로 3-2,대로 3-2,충청남도 천안시 동남구 원성동 195-15,37.4248279,127.0942706,16,4,,4,4,1,2,N,무,,,,1982-01-01, ,양호,제한없음,도색,정기점검,2017-09-11,천안시 동남구,2019-02-18,4490000,충청남도 천안시
서부육교,기타,대로 1-2,대로 1-2,충청남도 천안시 동남구 봉명동 192-5,37.424628,127.0758939,28,4,,5,4,1,8,N,경사로,1,,,2007-01-01, ,양호,제한없음,도색,정기점검,2017-09-11,천안시 동남구,2019-02-18,4490000,충청남도 천안시
태조산구름다리,기타,무,무,충청남도 천안시 동남구 유량동 1-3,37.4329781,127.1133872,62,18,,18,1,1,0,N,무,,,,1997-01-01, ,양호,제한없음,도색,정기점검,2017-09-11,천안시 동남구,2019-02-18,4490000,충청남도 천안시
송도곡각지 앞 육교,시도,1-8호선,대로,"부산광역시 서구 감천로, 충무대로",35.078649,129.018301,66.5,6,,5.5,3,1.2,6,Y,승강기,1,,,1995-12-31, ,양호,제한없음,2018.12.(재도장 완료),정기점검,2019-03-04,부산광역시 서구청,2019-09-27,3260000,부산광역시 서구
동신초등학교 앞 육교,시도,3-7호선,광로,부산광역시 서구 보수대로,35.114451,129.019473,35,5,,4.5,3,1.2,6,N,없음,,,,1986-12-31, ,양호,제한없음,2018.05.(재도장 완료),정기점검,2019-03-04,부산광역시 서구청,2019-09-27,3260000,부산광역시 서구
구덕야구장 앞 육교,시도,3-7호선,광로,부산광역시 서구 보수대로,35.116255,129.017289,50.5,5,,4.5,3.5,1.2,4,Y,승강기,1,,,1986-12-31, ,양호,제한없음,2019.05.(재도장 예정),정기점검,2019-03-04,부산광역시 서구청,2019-09-27,3260000,부산광역시 서구
부산여중 앞 육교,시도,3-7호선,광로,부산광역시 서구 보수대로,35.118217,129.015319,35,5,,4.5,4,1.2,4,Y,승강기,1,,,1986-12-31, ,양호,제한없음,2018.12.(재도장 완료),정기점검,2019-03-04,부산광역시 서구청,2019-09-27,3260000,부산광역시 서구
구덕초등학교 앞 육교,시도,3-7호선,광로,부산광역시 서구 보수대로,35.119767,129.012297,34,5.5,,5,4,1.2,3,Y,승강기,1,,,1986-12-31, ,양호,제한없음,2019.05.(재도장 예정),정기점검,2019-03-04,부산광역시 서구청,2019-09-27,3260000,부산광역시 서구
교연1육교,기타,대로2-1,교연로,충청북도 진천군 덕산읍 여안2길 6-7,36.9097613963,127.5337022135,,,,5,,,,Y,점자블럭+승강기,,,,,Y,양호,사용제한,,정기점검,2018-11-01,진천군청 안전건설과,2019-06-11,4450000,충청북도 진천군
교연2육교,기타,대로2-1,교연로,충청북도 진천군 덕산읍 여안2길 6-7,36.9097613963,127.5337022135,,,,5,,,,Y,점자블럭+승강기,,,,,Y,양호,사용제한,,정기점검,2018-11-01,진천군청 안전건설과,2019-06-11,4450000,충청북도 진천군
보행육교3,기타,대로3-2,연미로,충청북도 진천군 덕산읍 여안1길 33,36.9091839472,127.5314584763,,,,4.5,,,,Y,점자블럭+승강기,,,,,Y,양호,사용제한,,정기점검,2018-11-01,진천군청 안전건설과,2019-06-11,4450000,충청북도 진천군
보건소 앞 육교,일반국도,34번,일반국도34호선,경상북도 영덕군 영덕읍 경동로 8367,36.418174,129.367564,23.1,4.8,,4.8,2.3,1.5,0,N,없음,,없음,,,N,보통,제한없음,,정기점검,2018-12-01,포항국토관리사무소,2019-09-19,5180000,경상북도 영덕군
신현중뒤육교,시도,대로1-1호선,도시계획도로 대로1-1호선,경상남도 거제시 장평로1길 4,34.889949,128.616468,31.7,,,4.8,3,,,Y,경사로,,,,,,보통,제한없음,,정기점검,2017-09-22,거제시청,2020-02-19,5370000,경상남도 거제시
계림제1육교,구도,대로3-8,대로3-8,광주광역시 동구 중앙로 359(계림동),35.163729,126.919445,37,4.7,,4.5,3,1.1,2,N,N,,,,, ,양호,제한없음,도장,정기점검,2020-02-20,광주광역시 동구청,2020-02-20,3590000,광주광역시 동구
단계육교,시도,대로1-2,북원로,강원도 원주시 북원로 2384,37.35769372,127.9375741,25.1,4.7,,4.5,4,1,,N,없음,0,없음,0,,N,보통,제한없음,19.12 강재도장보수 43㎡,정기점검,2020-02-19,강원도 원주시청,2020-02-29,4190000,강원도 원주시
kT&G앞 육교,시도,대로1-2,북원로,강원도 원주시 소초면 장양리 722-3,37.40700167,127.9568051,30.7,4.8,,4.6,4,1,,Y,경사로,2,없음,0,,N,보통,제한없음,,정기점검,2020-02-19,강원도 원주시청,2020-02-29,4190000,강원도 원주시
장양육교,시도,대로1-2,북원로,강원도 원주시 소초면 장양리 806,37.41079621,127.9594464,24.7,5.1,,4.9,3,1,,Y,경사로,2,없음,0,,N,보통,제한없음,19.12 강재도장보수 20㎡,정기점검,2020-02-19,강원도 원주시청,2020-02-29,4190000,강원도 원주시
혁신도시 육교,시도,대로1-802,혁신로,강원도 원주시 반곡동 1914-7,37.32482759,127.9910403,88,5.7,,5.5,5,1,,Y,엘리베이터,1,없음,0,,N,양호,제한없음,,정기점검,2020-02-19,강원도 원주시청,2020-02-29,4190000,강원도 원주시
사우육교1,시도,구48번국도,김포대로,경기도 김포시 사우동 949,37.621081,126.717038,50,,,4.8,3.8,1,,N,해당없음,,,,2000-12-01,N,보통,제한없음,,정기점검,2020-02-20,김포시도로관리과,2020-02-27,4090000,경기도 김포시
사우육교2,시도,구48번국도,김포대로,경기도 김포시 사우동 930-1,37.619587,126.719212,50,,,4.8,3.8,1,,N,해당없음,,,,2000-12-01,N,보통,제한없음,,정기점검,2020-02-20,김포시도로관리과,2020-02-27,4090000,경기도 김포시
삼정자육교,일반국도,25호선,혜원로,경상남도 창원시 성산구 창원대로1137번길 18,35.1958100,128.7108000,255,12.5,,5.8,19.5,1.2,24,N,없음,,,,,N,보통,제한없음,,정밀점검,2017-08-09,경상남도 창원시 성산구청,2019-09-24,5670000,경상남도 창원시
외리육교,지방도,1020호선,창원대로,경상남도 창원시 성산구 창원대로 1124,32.5312900,123.7747400,45,5.06,,4.5,3,1.2,,N,없음,,,,,N,보통,제한없음,,정밀점검,2015-01-28,경상남도 창원시 성산구청,2019-09-24,5670000,경상남도 창원시
회원육교,시도,대로1-13,무학로,경상남도 창원시 마산회원구 무학로 662,35.2226760,128.5688590,36.8,5,,4.7,2.6,,,N,없음,,,,,N,보통,제한없음,,정기점검,2017-11-21,경상남도 창원시 마산회원구청,2019-09-24,5670000,경상남도 창원시
마여중앞육교,시도,대로1-13,무학로,경상남도 창원시 마산회원구 무학로 587,35.2213160,128.5610390,30,5.5,,5,2.6,,,N,없음,,,,,N,보통,제한없음,,정기점검,2017-11-21,경상남도 창원시 마산회원구청,2019-09-24,5670000,경상남도 창원시
한전앞육교,시도,광로3-1,3.15대로,경상남도 창원시 마산회원구 3.15대로 966,35.2513590,128.6006300,29,5.5,,5,3,,,N,없음,,,,,N,보통,제한없음,,정기점검,2017-11-21,경상남도 창원시 마산회원구청,2019-09-24,5670000,경상남도 창원시
봉래초등학교 앞 육교,시도,광로3-7,대영로,부산광역시 중구 대영로241-1,35.1123457,129.0372171,35.5,4,,4.2,1,,,Y,E/V,1,,,1988-11-30,Y,양호,제한없음,2017.11. 보수공사2018.06. 탄성포장재 보수,정기점검,2019-03-11,건설과,2019-11-22,3250000,부산광역시 중구
연안여객부두 앞 육교,시도,대로1-11,대교로,부산광역시 중구 중앙대로42번길 8,35.1011811,129.0374156,50,4.5,,4.5,3.3,,,Y,E/V,1,,,2001-02-15,Y,양호,제한없음,,정기점검,2019-03-11,건설과,2019-11-22,3250000,부산광역시 중구
성환육교,일반국도,1호,천안대로,충청남도 천안시 서북구 성환읍 성월리 96-3,37.4846884,127.0816943,28,4,,4,4,1,,N,무,,,,1993-01-01, ,양호,제한없음,,정기점검,2017-09-22,서북구청 건설과,2019-02-18,4490000,충청남도 천안시
쌍용인도육교,기타,대로1-2호,서부대로,충청남도 천안시 서북구 서부대로 319-12,37.4142689,127.0742428,146,2,,2,6,1,,N,무,,,,2000-01-01, ,양호,제한없음,,정기점검,2017-09-08,서북구청 건설과,2019-02-18,4490000,충청남도 천안시
동서인도육교,기타,대로1-6호,동서대로,충청남도 천안시 서북구 천안대로 947-21,36.8258965229,127.0916418,315,6,,4,4,1,,N,무,,,,2008-01-01, ,양호,제한없음,,정기점검,2017-09-08,서북구청 건설과,2019-02-18,4490000,충청남도 천안시
청운교,기타,광로3-3호,번영로,충청남도 천안시 서북구 번영로 208,37.4314788,127.0708249,45,4,,4,5,1,116,Y,엘리베이터,2,,,2016-01-01, ,양호,제한없음,,정기점검,2017-09-08,서북구청 건설과,2019-02-18,4490000,충청남도 천안시
선샘교,기타,대로1-탕4호,불당22대로,충청남도 천안시 서북구 불당동 1877,37.4256126,127.0616059,60,5,,4,5,1,189,N,무,,,,2016-01-01, ,양호,제한없음,,정기점검,2017-09-08,서북구청 건설과,2019-02-18,4490000,충청남도 천안시
구성육교,일반국도,1,국도1호,충청남도 천안시 동남구 구성동 258-3,37.4132376,127.0959693,28,4,,4,4,1,8,N,무,,,,1992-01-01, ,양호,제한없음,도색,정기점검,2017-09-11,천안시 동남구,2019-02-18,4490000,충청남도 천안시
유량육교,일반국도,1,국도1호,충청남도 천안시 동남구 원성동 613,37.4216639,127.0947382,28,4,,4,4,1,8,N,무,,,,1992-01-01, ,양호,제한없음,도색,정기점검,2017-09-11,천안시 동남구,2019-02-18,4490000,충청남도 천안시
태조산육교,일반국도,1,국도1호,충청남도 천안시 동남구 신부동 56-31,37.4254052,127.1006221,28,4,,4,4,1,8,N,무,,,,1992-01-01, ,양호,제한없음,"난간보수, 도색",정기점검,2017-09-11,천안시 동남구,2019-02-18,4490000,충청남도 천안시
구성삼거리육교,일반국도,1,국도1호,충청남도 천안시 동남구 구성동 490,37.4143464,127.0941728,32,4,,4,4,1,6,N,승강기,2,,,2008-01-01, ,양호,제한없음,도색,정기점검,2017-09-11,천안시 동남구,2019-02-18,4490000,충청남도 천안시
천안삼거리육교,일반국도,1,국도1호,충청남도 천안시 동남구 삼룡동 257-17,37.4113395,127.1003013,54,4,,4,4,1,0,N,무,,,,2009-01-01, ,양호,제한없음,"도색, 데크보수",정기점검,2017-09-11,천안시 동남구,2019-02-18,4490000,충청남도 천안시
일봉육교,기타,대로 1-3,대로 1-3,충청남도 천안시 동남구 다가동 494,37.415009,127.0822442,42,4,,4,4,1,5,N,무,,,,1997-01-01, ,양호,제한없음,도색,정기점검,2017-09-11,천안시 동남구,2019-02-18,4490000,충청남도 천안시
한려육교,시도,대로 1-2,쌍봉로,전라남도 여수시 둔덕동 655,34.767155,127.689867,33.5,4.5,,4.5,2,1.5,2,Y,엘리베이터,1,엘리베이터,2,1997-01-01,N,양호,제한없음,,정기점검,2018-11-26,여수시,2019-03-18,4810000,전라남도 여수시
진남육교,시도,대로 3-4,만성로,전라남도 여수시 만성로 93-1,34.770919,127.705953,22,4.5,,4.5,3.3,1.5,2,N,없음,,,,1998-01-01,N,양호,제한없음,,정기점검,2018-11-26,여수시,2019-03-18,4810000,전라남도 여수시
신월육교,시도,대로 2-1,신월로,전라남도 여수시 신월로 609,34.7271942,127.712714,26,4.5,,4.5,3.3,1.5,2,N,없음,,,,1998-01-01,N,양호,제한없음,,정기점검,2018-11-26,여수시,2019-03-18,4810000,전라남도 여수시
신기육교,시도,대로 1-5,쌍봉로,전라남도 여수시 쌍봉로 213,34.764134,127.6791478,35,4.2,,4.2,3,1.5,2,N,없음,,,,1992-01-01,N,양호,제한없음,,정기점검,2018-11-26,여수시,2019-03-18,4810000,전라남도 여수시
신기2육교,시도,대로 1-5,쌍봉로,전라남도 여수시 쌍봉로 182,34.764634,127.675545,35,4.5,,4.5,3,1.5,2,N,없음,,,,1996-01-01,N,양호,제한없음,,정기점검,2018-11-26,여수시,2019-03-18,4810000,전라남도 여수시
가곡육교,시도,광로 3-1,시청로,전라남도 여수시 시청로 85,34.769319,127.662862,39,4.5,,4.5,3,1.5,2,N,없음,,,,1992-01-01,N,양호,제한없음,,정기점검,2018-11-26,여수시,2019-03-18,4810000,전라남도 여수시
여천육교,시도,대로 1-3,좌수영로,전라남도 여수시 주동1길 3,34.788039,127.657343,16,4.5,,4.5,3,1.5,,N,없음,,,,1989-01-01,N,양호,제한없음,,정기점검,2018-11-26,여수시,2019-03-18,4810000,전라남도 여수시
소호육교,시도,대로 3-23,소호로,전라남도 여수시 소호동 155-9,34.746841,127.654601,30,4.5,,4.5,3,1.5,2,N,없음,,,,1995-01-01,N,양호,제한없음,,정기점검,2018-11-26,여수시,2019-03-18,4810000,전라남도 여수시
도원육교,시도,대로 2-7,도원로,전라남도 여수시 도원로 175,34.760941,127.650694,26.7,4.5,,4.5,3,1.5,2,N,없음,,,,1999-01-01,N,양호,제한없음,,정기점검,2018-11-26,여수시,2019-03-18,4810000,전라남도 여수시
무선육교,시도,대로 1-5,무선로,전라남도 여수시 무선로 71,34.767431,127.655851,33.8,4.5,,4.5,3,1.5,2,N,없음,,,,1999-01-01,N,양호,제한없음,,정기점검,2018-11-26,여수시,2019-03-18,4810000,전라남도 여수시
충민육교,시도,중로 1-5,충민로,전라남도 여수시 연등동 607-1,34.757349,127.726236,21.5,5,,5,3,1.5,2,Y,엘리베이터+점자블럭,2,엘리베이터,2,2012-01-01,N,양호,제한없음,,정기점검,2018-11-26,여수시,2019-03-18,4810000,전라남도 여수시
공단육교,일반국도,1호,천안대로,충청남도 천안시 서북구 두정동 98-11,37.435554,127.0918396,28,4,,4,4,1,,N,무,,,,1993-01-01, ,양호,제한없음,,정기점검,2017-09-08,서북구청 건설과,2019-02-18,4490000,충청남도 천안시
부성육교,일반국도,1호,천안대로,충청남도 천안시 서북구 부대1길 13-1,37.4440589,127.0918378,28,4,,4,4,1,,N,무,,,,1993-01-01, ,양호,제한없음,,정기점검,2017-09-08,서북구청 건설과,2019-02-18,4490000,충청남도 천안시
