재해위험지구관리번호,재해위험지구명,재해위험지역,재해위험지역상세주소,재해위험유형,재해위험등급,시설명,시설물유형,수계명,지정일자,해제일자,정보수정일자,지정사유,해제사유,추진사항,위험요인,지정면적,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
488402000000,중앙지구,전라남도 구례군 간전면,,붕괴시설,다 ,중대지구3,,,2017-01-01,,,붕괴위험,,정비중(응급조치완료),붕괴,200,전라남도 구례군청,,2019-06-26,4870000,전라남도 구례군
488402000000,중앙지구,전라남도 구례군 간전면,,붕괴시설,다 ,중대지구2,,,2017-01-01,,,붕괴위험,,정비중(응급조치완료),붕괴,200,전라남도 구례군청,,2019-06-26,4870000,전라남도 구례군
488402000000,중앙지구,전라남도 구례군 간전면,,붕괴시설,다 ,중대지구1,,,2017-01-01,,,붕괴위험,,정비중(응급조치완료),붕괴,200,전라남도 구례군청,,2019-06-26,4870000,전라남도 구례군
488402000000,중앙지구,전라남도 구례군 마산면,,붕괴시설,다 ,갑산지구1,,,2017-01-01,,,붕괴위험,,정비중(응급조치완료),붕괴,200,전라남도 구례군청,,2019-06-26,4870000,전라남도 구례군
488402000000,중앙지구,전라남도 구례군 마산면,,붕괴시설,다 ,갑산지구2,,,2017-01-01,,,붕괴위험,,정비중(응급조치완료),붕괴,200,전라남도 구례군청,,2019-06-26,4870000,전라남도 구례군
488402000000,중앙지구,전라남도 구례군 산동면,,붕괴시설,다 ,외산지구,,,2017-01-01,,,붕괴위험,,정비중(응급조치완료),붕괴,200,전라남도 구례군청,,2019-06-26,4870000,전라남도 구례군
488402000000,중앙지구,전라남도 구례군 산동면,,붕괴시설,다 ,수기지구,,,2017-01-01,,,붕괴위험,,정비중(응급조치완료),붕괴,200,전라남도 구례군청,,2019-06-26,4870000,전라남도 구례군
457502000000,세심,전라북도 임실군 삼계면,전라북도 임실군 삼계면 세학로 490-13,유실위험,다 ,택승천,소하천,,2006-03-13,2015-04-23,2016-02-01,유실위험,정비완료,정비완료,제방유실,200000,전라북도 임실군청,063-640-2633,2019-05-01,4760000,전라북도 임실군
457502000000,안하,전라북도 임실군 덕치면,전라북도 임실군 덕치면 사곡3길 23-1,침수위험,나 ,평지천,지방하천,,2013-03-31,,2016-02-01,침수위험,,정비중(응급조치완료),내수침수,440000,전라북도 임실군청,063-640-2633,2019-05-01,4760000,전라북도 임실군
457502000000,상월,전라북도 임실군 관촌면,전라북도 임실군 관촌면 상월로 129,유실위험,다 ,상월천,지방하천,,1996-08-23,2015-04-23,2016-02-01,유실위험,정비완료,정비완료,제방유실,460000,전라북도 임실군청,063-640-2633,2019-05-01,4760000,전라북도 임실군
457502000000,방수,전라북도 임실군 관촌면,전라북도 임실군 관촌면 관마로 358-5,유실위험,다 ,섬진강천,지방하천,,2006-03-13,2015-04-23,2016-02-01,유실위험,정비완료,정비완료,제방유실,310000,전라북도 임실군청,063-640-2633,2019-05-01,4760000,전라북도 임실군
457502000000,회진,전라북도 임실군 강진면,전라북도 임실군 강진면 호국로 58-37,유실위험,나 ,갈담천,지방하천,,1996-08-23,,2016-02-01,유실위험,,정비중(응급조치완료),제방유실,730000,전라북도 임실군청,063-640-2633,2019-05-01,4760000,전라북도 임실군
468102000007,월평,전라남도 강진군 성전면 월평리 1,전라남도 강진군 성전면 월평리 1,취약방재시설,가 ,월산천,지방하천,탐진강,1997-08-12,2011-09-09,2016-07-20,재해위험지구,정비완료,정비완료,침수,0.15,강진군,061-430-3413,2019-06-26,4920000,전라남도 강진군
468102000006,명산,전라남도 강진군 성전면 명산리 757-5,전라남도 강진군 성전면 명산리 757-5,취약방재시설,가 ,금강천,지방하천,탐진강,1997-08-12,2007-05-10,2016-07-20,재해위험지구,정비완료,정비완료,침수,0.3,강진군,061-430-3413,2019-06-26,4920000,전라남도 강진군
468102000005,삭양,전라남도 강진군 병영면 삭양리 448-1,전라남도 강진군 병영면 삭양리 448-1,침수위험,가 ,금강천,지방하천,탐진강,1997-08-12,2007-05-10,2016-07-20,침수위험지구,정비완료,정비완료,침수,0.3,강진군,061-430-3413,2019-06-26,4920000,전라남도 강진군
468102000004,평리,전라남도 강진군 작천면 평리 17-1,전라남도 강진군 작천면 평리 17-1,침수위험,나 ,금강천,지방하천,탐진강,2006-02-28,2011-09-09,2016-07-20,침수위험지구,정비완료,정비완료,침수,0.46,강진군,061-430-3413,2019-06-26,4920000,전라남도 강진군
